product_id,warehouse_id,quantity
2,3,100
2,5,71
2,6,58
2,7,46
2,8,34
2,9,23
3,1,106
3,2,96
3,3,88
3,4,63
3,5,46
3,6,29
3,7,63
3,8,49
3,9,35
4,1,106
4,2,96
4,3,88
4,4,63
4,5,46
4,6,30
4,7,63
4,8,49
4,9,35
5,1,106
5,2,96
5,3,89
5,4,63
5,5,47
5,6,30
5,7,63
5,8,49
5,9,36
6,1,107
6,2,96
6,3,89
6,4,64
6,5,47
6,6,30
6,7,63
6,8,50
6,9,36
7,2,97
7,4,64
7,6,30
7,8,50
7,9,36
8,2,97
8,4,67
8,6,30
8,8,50
8,9,36
9,2,97
9,4,67
9,6,31
9,8,50
9,9,36
11,1,108
11,2,98
11,3,90
11,4,68
11,5,48
11,6,31
11,7,65
11,8,51
11,9,37
12,1,108
12,2,98
12,3,90
12,4,68
12,5,48
12,6,32
12,7,65
12,8,51
12,9,37
13,2,98
13,4,68
13,6,32
13,8,51
13,9,37
14,2,98
14,4,68
14,6,32
14,8,51
14,9,38
15,2,99
15,4,69
15,6,33
15,8,52
15,9,41
17,2,100
17,4,70
17,6,34
17,8,54
17,9,3
18,2,101
18,4,71
18,6,35
18,8,54
18,9,3
19,2,101
19,4,71
19,6,35
19,8,54
19,9,3
20,2,104
20,4,71
20,6,35
20,8,5
20,9,4
21,2,105
21,4,72
21,6,36
21,8,5
21,9,4
22,2,114
22,5,73
22,6,62
22,7,50
22,8,38
23,2,114
23,5,74
23,6,62
23,7,50
23,8,39
24,2,115
24,5,74
24,6,62
24,7,50
24,8,39
25,2,115
25,5,74
25,6,62
25,7,51
25,8,39
26,2,115
26,5,74
26,6,63
26,7,51
26,8,39
27,2,106
27,4,73
27,6,37
27,8,6
27,9,5
29,2,107
29,4,74
29,6,38
29,8,7
29,9,6
30,2,107
30,4,74
30,6,38
30,8,7
30,9,6
31,6,39
31,8,8
31,9,7
32,6,39
32,8,8
32,9,7
33,2,117
33,5,77
33,6,65
33,7,53
33,8,42
34,6,39
34,8,9
34,9,8
35,2,118
35,5,77
35,6,66
35,7,54
35,8,42
36,2,118
36,5,78
36,6,66
36,7,54
36,8,43
37,2,119
37,5,78
37,6,66
37,7,55
37,8,43
38,2,119
38,5,78
38,6,66
38,7,55
38,8,43
39,2,119
39,5,78
39,6,66
39,7,55
39,8,43
40,2,119
40,5,78
40,6,67
40,7,55
40,8,44
41,2,119
41,5,79
41,6,67
41,7,55
41,8,44
42,2,122
42,5,81
42,6,69
42,7,57
42,8,46
43,2,122
43,5,81
43,6,69
43,7,58
43,8,46
44,2,122
44,5,82
44,6,70
44,7,58
44,8,47
46,3,112
46,5,90
46,6,29
46,7,18
46,8,7
46,9,6
47,3,66
47,5,44
47,6,33
47,7,22
47,8,11
47,9,0
50,2,117
50,5,69
50,6,84
50,7,58
50,8,32
54,2,110
54,4,88
54,6,66
54,8,44
54,9,33
56,6,58
57,6,66
62,2,149
62,4,74
62,6,30
62,8,47
62,9,32
63,2,149
63,4,74
63,6,30
63,8,47
63,9,33
67,2,154
67,4,76
67,6,34
67,8,49
67,9,34
68,2,154
68,4,76
68,6,35
68,8,49
68,9,34
69,2,154
69,4,76
69,6,35
69,8,50
69,9,35
70,2,155
70,4,76
70,6,35
70,8,50
70,9,35
71,2,155
71,4,76
71,6,35
71,8,50
71,9,35
72,2,155
72,4,77
72,6,35
72,8,50
72,9,35
73,2,111
73,4,87
73,6,63
73,8,39
73,9,27
74,2,111
74,4,87
74,6,63
74,8,39
74,9,27
76,2,112
76,4,88
76,6,64
76,8,40
76,9,28
78,2,113
78,4,89
78,6,65
78,8,41
78,9,29
79,2,113
79,4,89
79,6,65
79,8,41
79,9,29
80,1,125
80,2,113
80,3,101
80,4,89
80,5,77
80,6,65
80,7,53
80,8,41
80,9,29
84,6,69
84,8,45
84,9,33
87,1,131
87,2,119
87,3,107
87,4,95
87,5,83
87,6,71
87,7,59
87,8,47
87,9,35
88,1,117
88,2,167
88,3,118
88,4,86
88,5,62
88,6,44
88,7,27
88,8,12
88,9,7
89,1,118
89,2,167
89,3,118
89,4,86
89,5,63
89,6,45
89,7,27
89,8,12
89,9,8
90,1,118
90,2,167
90,3,118
90,4,86
90,5,63
90,6,45
90,7,27
90,8,13
90,9,8
91,3,94
91,5,70
91,6,58
91,7,46
91,8,34
91,9,22
94,2,91
94,5,85
94,6,71
94,7,57
94,8,44
95,6,60
96,6,60
98,3,69
98,5,86
98,6,72
98,7,58
98,8,45
98,9,32
99,2,94
99,5,88
99,6,73
99,7,60
99,8,47
100,2,94
100,5,88
100,6,74
100,7,60
100,8,47
101,2,173
101,4,95
101,6,51
101,8,18
101,9,3
102,3,73
102,5,90
102,6,76
102,7,62
102,8,49
102,9,36
103,1,125
103,2,178
103,3,126
